,User ID,Birthdate,City,State Name,State Abbreviation,Zip,Available Points,Total Points Earned,Points Spent,Joined On,Last Seen,Number of Days Active,Age
138,5816,1994-07-20,Winston-Salem,North Carolina,NC,27127,450,450,0,2021-09-16,2021-12-09,84 days,30
139,5818,1986-09-30,Winston-Salem,North Carolina,NC,27104,1030,1030,0,2021-09-16,2022-06-01,258 days,37
140,5974,1986-05-15,Winston-Salem,North Carolina,NC,27101,900,900,0,2021-09-21,2022-02-01,133 days,38
141,5979,1969-12-09,Winston-Salem,North Carolina,NC,27101,910,910,0,2021-09-22,2022-05-06,226 days,54
142,6011,1997-08-27,Winston-Salem,North Carolina,NC,27106,1280,1280,0,2021-09-26,2022-05-26,242 days,27
143,6046,1998-10-08,Winston-Salem,North Carolina,NC,27106,450,450,0,2021-09-29,2021-11-13,45 days,25
144,6118,1993-11-08,Walkertown,North Carolina,NC,27051,1580,1580,0,2021-10-02,2022-04-18,198 days,30
145,6119,1995-10-31,Winston-Salem,North Carolina,NC,27101,450,450,0,2021-10-02,2021-12-02,61 days,28
146,6135,1996-11-12,Winston-Salem,North Carolina,NC,27106,1420,2920,1500,2021-10-06,2022-06-30,267 days,27
147,6144,2021-05-23,Charlotte,North Carolina,NC,28205,250,750,500,2021-10-11,2022-01-06,87 days,3
148,6219,1995-01-26,Winston-Salem,North Carolina,NC,27101,400,400,0,2021-10-23,2021-10-30,7 days,29
149,6234,2002-02-12,Winston-Salem,North Carolina,NC,27109,710,710,0,2021-10-24,2022-05-08,196 days,22
150,6291,1997-08-26,Winston-Salem,North Carolina,NC,27106,800,800,0,2021-10-28,2022-01-18,82 days,27
151,6438,1993-08-26,Winston-Salem,North Carolina,NC,27106,590,590,0,2021-11-08,2022-05-08,181 days,31
152,6439,1995-08-03,Winston-Salem,North Carolina,NC,27103,400,400,0,2021-11-08,2022-01-26,79 days,29
153,6566,1997-11-30,Winston-Salem,North Carolina,NC,27101,1410,1410,0,2021-11-13,2022-04-08,146 days,26
155,6592,1997-06-15,Winston-Salem,North Carolina,NC,27106,960,960,0,2021-11-13,2022-02-19,98 days,27
156,6662,2000-06-01,Valrico,Florida,FL,33596,660,660,0,2021-11-18,2022-05-14,177 days,24
157,6683,1994-07-11,Clovis,New Mexico,NM,88101,410,410,0,2021-11-27,2022-05-16,170 days,30
158,6730,1997-10-11,Smithtown,New York,NY,11787,400,400,0,2021-12-01,2021-12-02,1 days,26
159,6781,1971-04-30,Charlotte,North Carolina,NC,28216,400,400,0,2022-01-07,2022-02-03,27 days,53
160,6825,2001-05-30,Cleveland,North Carolina,NC,27013,400,400,0,2022-01-10,2022-02-28,49 days,23
161,7114,1998-04-24,Winston-Salem,North Carolina,NC,27101,800,800,0,2022-02-04,2022-02-04,0 days,26
162,7200,2000-07-24,Winston-Salem,North Carolina,NC,27106,640,640,0,2022-06-07,2022-07-01,24 days,24
163,7215,2004-01-17,Rome,Georgia,GA,30165,420,420,0,2022-06-22,2022-06-23,1 days,20
164,7217,2004-01-08,Delhi,New York,NY,13753,460,460,0,2022-06-22,2022-06-29,7 days,20
165,7219,2004-06-12,Lutherville,Maryland,MD,21093,490,490,0,2022-06-22,2022-06-30,8 days,20
166,7220,1999-08-07,Winston-Salem,North Carolina,NC,27106,430,430,0,2022-06-22,2022-06-26,4 days,25
169,7227,2000-03-14,Clemmons,North Carolina,NC,27012,460,460,0,2022-06-23,2022-06-29,6 days,24
170,7230,1999-05-18,Winston-Salem,North Carolina,NC,27107,410,410,0,2022-06-24,2022-06-24,0 days,25
